entite;freq;verdict1;Vectict 2
a Montparnasse;1;VP;FFP
ad Pise;1;VP;FFP
Afrique;1;VP;VP
Angleterre;1;VP;VP
baie de Naples;1;VP;VP
Batignolleslo;1;VP;FFP
Beaucaire;1;VP;VP
bibliotheque du college;1;VP;FFP
Boheme;1;VP;FFP
boulevard Montparnasse;1;VP;VP
Bretagne;1;VP;VP
cafe Barbetten;1;VP;FFP
caraibe;1;VP;FFP
Carmelites - se;1;VP;FFP
Caveau;1;VP;VP
Chili;1;VP;VP
Chine;1;VP;VP
cimetiere des Papillons;1;VP;FFP
cimetiere desert;1;VP;VP
College;1;VP;FFP
Comedie-Francaise;1;VP;FFP
d'Espagne;1;VP;VP
d'Italie;1;VP;VP
de Saint-Germain;1;VP;FFP
eglise Saint-Pierre;1;VP;FFP
Gymnase;1;VP;VP
hotel Pilois;1;VP;FFP
hotel Piloisl;1;VP;FFP
Iardin;1;VP;FFP
ile deserte;1;VP;VP
Inde;1;VP;VP
l'Italie;1;VP;VP
la Bretagne;1;VP;VP
Maine;1;VP;VP
Marsala;1;VP;VP
Montparnasse;1;VP;VP
Moustier;1;VP;VP
Nanterre;1;VP;VP
Palais-Mazarin;1;VP;VP
Palais-Royal;1;VP;VP
Parisl Ici;1;VP;FFP
Parthenon;1;VP;FFP
Perou;1;VP;FFP
Perrache;1;VP;VP
Pise;1;VP;VP
place d'Armes;1;VP;VP
"place des
Terreaux";1;VP;VP
Plantes;1;VP;FFP
Port-au-Prince;1;VP;VP
Prairie;1;VP;VP
pres;1;VP;FFP
Pres-Saint-Gervais;1;VP;FFP
pyramide d'Egypte;1;VP;FFP
Quartier;1;VP;FFP
Quartier Latin;1;VP;VP
Quartier-Latin;1;VP;FFP
Recollets;1;VP;FFP
Rh6ne;1;VP;FFP
Rio;1;VP;FFP
"rOle
d'Ocean";1;VP;FFP
"rue
";1;VP;FFP
rue des Dames;1;VP;VP
Saint-;1;VP;FFP
"Saint-
Nizierl
 ";1;VP;FFP
Saint-Benoft;1;VP;FFP
Saint-Cloud;1;VP;VP
"Saint-Germain-des-
Pres";1;VP;FFP
Saint-Germainl;1;VP;FFP
Saint-Guillaume;1;VP;VP
Saint-Nizier.n;1;VP;FFP
Saint-Pierre;1;VP;VP
Sceaux;1;VP;VP
Sevres;1;VP;FFP
"sous-prefectureln
Est";1;VP;FFP
Theatre-;1;VP;FFP
Theatre-Francais;1;VP;FFP
Theatre-Frangais;1;VP;FFP
Theatre-Frangcais;1;VP;FFP
tour de Saint-Germain;1;VP;VP
Touraine;1;VP;VP
Vienne;1;VP;VP
Alfort;2;VP;VP
Alsace;2;VP;VP
Carmelites;2;VP;FFP
collegel;2;VP;FFP
Comeidie;2;VP;FFP
Cuba;2;VP;VP
du Nord;2;VP;VP
faubourg Saint-Germain;2;VP;VP
Languedoc;2;VP;VP
