entite;freq;verdict1;vectict tess .;verdict kraken
Afrique;1;VP;VP;VP
Alfort;1;VP;VP;VP
Angleterre;1;VP;VP;VP
baie de Naples;1;VP;VP;VP
Beaucaire;1;VP;VP;VP
boulevard Montparnasse;1;VP;VP;VP
Bretagne;1;VP;VP;VP
Caraïbe;1;VP;VP;VP
Caveau;1;VP;VP;VP
Chili;1;VP;VP;VP
Chine;1;VP;VP;VP
cimetière des Papillons;1;VP;VP;VP
Comédie-Française;1;VP;VP;VP
couvent de carmélites;1;VP;VP;VP
d'Espagne;1;VP;VP;VP
d'Italie;1;VP;VP;VP
du Nord;1;VP;VP;VP
Ecole d'Alfort;1;VP;VP;VP
église Saint-Pierre;1;VP;VP;VP
Evêché;1;VP;VP;VP
Grand-Orient;1;VP;VP;VP
Gymnase;1;VP;VP;VP
Inde;1;VP;VP;VP
IX;1;VP;VP;VP
Jardin des plantes;1;VP;VP;VP
l'Afrique;1;VP;VP;VP
l'Italie;1;VP;VP;VP
la Bretagne;1;VP;VP;VP
le Rhône;1;VP;VP;VP
Le Rhône;1;VP;VP;VP
Limoux;1;VP;VP;VP
Madagascar;1;VP;VP;VP
Maine;1;VP;VP;VP
Marsala;1;VP;VP;VP
Moustiers;1;VP;VP;VP
Nanterre;1;VP;VP;VP
Observatoire;1;VP;VP;VP
Océan;1;VP;VP;VP
Odéon;1;VP;VP;VP
palais de la fée Porcelaine;1;VP;VP;VP
Palais-Mazarin;1;VP;VP;VP
Palais-Royal;1;VP;VP;VP
Parthénon;1;VP;VP;VP
Pérou;1;VP;VP;VP
Perrache;1;VP;VP;VP
place d'Armes;1;VP;VP;VP
place des Terreaux;1;VP;VP;VP
Port-au-Prince;1;VP;VP;VP
Prairie;1;VP;VP;VP
Près-Saint-Gervais;1;VP;VP;VP
pyramide d'Égypte;1;VP;VP;VP
Rue des Dames;1;VP;VP;VP
rue des Dames;1;VP;VP;VP
Saint-Benoît;1;VP;VP;VP
Saint-Cloud;1;VP;VP;VP
Saint-Germain-des-Près;1;VP;VP;VP
Saint-Pétersbourg;1;VP;VP;VP
Saint-Pierre;1;VP;VP;VP
Sceaux;1;VP;VP;VP
Sèvres;1;VP;VP;VP
Théâtre Français;1;VP;VP;VP
Touraine;1;VP;VP;VP
Vienne;1;VP;VP;VP
Alsace;2;VP;VP;VP
Batignolles;2;VP;VP;VP
Bohême;2;VP;VP;VP
café Barbette;2;VP;VP;VP
collège de Lyon;2;VP;VP;VP
Cuba;2;VP;VP;VP
faubourg Saint-Germain;2;VP;VP;VP
Languedoc;2;VP;VP;VP
Luxembourg;2;VP;VP;VP
Naples;2;VP;VP;VP
Palerme;2;VP;VP;VP
Pise;2;VP;VP;VP
Quartier latin !;2;VP;VP;VP
Récollets;2;VP;VP;VP
Rhône;2;VP;VP;VP
Rome;2;VP;VP;VP
rue Bonaparte;2;VP;VP;VP
rue Saint-Benoît;2;VP;VP;VP
théâtre Montparnasse;2;VP;VP;VP
tour de Saint-Germain;2;VP;VP;VP
îles Marquises;3;VP;VP;VP
Marseille;3;VP;VP;VP
Nice;3;VP;VP;VP
rue de Lille;3;VP;VP;VP
Saint-Germain-des-Prés;3;VP;VP;VP
Théâtre-Français;3;VP;VP;VP
Pilois;4;VP;VP;VP
Serrières;4;VP;VP;VP
rue Saint-Guillaume;5;VP;VP;VP
Montmartre;6;VP;VP;VP
Quartier latin;6;VP;VP;VP
rue Lanterne;6;VP;VP;VP
